Autor, Year, Title, Ed,Sub
Schiraldi. Paul,1998, Galactus Eats Wizard [photonovel],  Wizard,
Baker. Bill,2000, [Undeclared] Wartime. 5 Minutes with Joe Sacco on Palestine,  Wizard,
Baker. Bill,2000, Comics Journalism 101. 5 Minutes with Joe Sacco,  Wizard,
Blevins. Bret,2000, How To Draw the WB Animated Style,  Wizard,
Baker. Bill,2001, War Tales. 5 Minutes with Joe Sacco on Safe Area Gorazde,  Wizard,
Lawrence. Christopher,2001, Wizard #124. Who Is Steve Ditko? Expanded coverage of Spider-Man's mystery man,  Wizard,
Baker. Bill,2002, 'I Deserve a Break'. Alan Moore explains why he's taking some time off. = and what that means for his fans,  Wizard,
Wizard Staff,2003, The Top Comic Book Movies of All Time,  Wizard,
Cotton. Mike,2005, Return of the Living Dead. In Today's Comics Landscape of Countdowns. Endsongs and Rebirths. Wizard Asks. 'Does Death Still Matter?' [superheroes],  Wizard,
Arbona. Alejandro,2006, `Black' Celebration - Legendary writer Alan Moore unveils The League of Extraordinary Gentlemen. The Black Dossier. his biggest League epic yet and reveals his real beef with Hollywood,  Wizard,
Bendis. Brian,2006, Brian Bendis Presents Brad Meltzer [interview],  Wizard,
Bendis. Brian,2006, Brian Bendis Presents Dan Slott [interview],  Wizard,
Bendis. Brian,2006, Brian Bendis Presents Jeph Loeb [interview],  Wizard,
Bendis. Brian,2006, Brian Bendis Presents Joss Whedon [interview],  Wizard,
Bendis. Brian,2006, Brian Bendis Presents Patton Oswalt [interview],  Wizard,
Bendis. Brian,2006, Brian Bendis Presents Rob Liefeld [interview],  Wizard,
Bendis. Brian,2006, Brian Bendis Presents Stan Lee [interview],  Wizard,
Bendis. Brian,2006, Brian Bendis PresentsEd Brubaker [interview],  Wizard,
Trotter. Megan,2007, A comic life. Cookeville comic book artist inspired by Archie. prefers pen and ink [James Street], (Cookeville. TN) Herald-Citizen (March 11). B1-2,
Wachtel. Eleanor,2009, Lynda Barry Interview CBC's Writers & Co, (March 1),
Montgomery. Charles,2006, Everybody comes together for Dawson reopening. Copeman urges people to watch for long-term symptoms when the media coverage fades [Canadian editorial cartoonist Stan Roach], (Montreal) Chronicle West-End (September 19),
Theisen. Vibeke,1982, La Surtraduction de la bande dessinee [language and comics; in Danish], (Pre)publications 75(Sep).41-53,
Downie. Brian,2006, 'Krazy' new store sells comic books, (Pullman. WA) Daily Evergreen (August 30),
McQuillan. Libbie,1998, 'I live my body I am my body'.the philosophical bodies of Claire Bretecher [conference paper], (Re)figuring the body. distortions and disintegrations (April). Universities of Glasgow and Cambridge,University
Lofficier. Jean-Marc and Randy Lofficier,2000, French science fiction. fantasy. horror and pulp fiction . a guide to cinema. television. radio. animation. comic books and literature from the middle ages to the present [foreword by Stephen R  Bissette], . McFarland,
Enriquez. Alberto / Anchorage Daily News,2002, Marching to a different 'toon. Collectors of animation art look high and low for next acquisition, [Arlington County. VA] Journal (April 7). D1. 3,
Lissau. Russell,2000, Holy double take! Twin brothers find success in world of comics [artists Philip and Jeffrey Moy], [Arlington Heights. IL] Daily Herald (October 13),
Brown. Susan,2000, Six Flags America unveils another monster [Superman - Ride of Steel roller coaster in theme park], [Arlington VA] Sun Weekly (March 23). 11,
Unknown,1999, Book has Tricare answers ['The Provider'. educational comic book on Army medical system], [Army Medical Department] Mercury (October). 6,
Barnes. Derek et.al,1999, Small Press Expo 99 [(sic). actually 1998 coverage], [Art Directors Club of Metropolitan Washington] Fullbleed,Newspaper / Magazine
Mikula. Mike,1999, The National Cartoonists Society, [Art Directors Club of Metropolitan Washington] Fullbleed,Newspaper / Magazine
Rodman. Larry,1999, Goth populi. Death. despair. and Classic Comics, [Art Directors Club of Metropolitan Washington] Fullbleed,Newspaper / Magazine
Rodman. Larry,1999, Sal Buscema. A professional profile, [Art Directors Club of Metropolitan Washington] Fullbleed,Newspaper / Magazine
Unknown,2003, Kim Jong-Il becomes an unlikely hero of Japanese manga, [Australia] ABC News Online (September 19),
Unknown,2001, JCD activists set fire to 'anti-communal' cartoons in city, [Bangladesh] Daily Star (September 23),
O'Donnell. Chuck,2008, A Comic Book That's Got Legs. Sexy Novel for Mobile Devices [Joe Caramagna and Model Operandi],The Record,Newspaper / Magazine
Unknown,2007, Bloody Marvel-ous plot twist; Superhero Captain America is killed off,The Record,Newspaper / Magazine
Beckerman. Jim,2008, A chance to rub elbows with the stars. And. for a price. to get autographs [conventions],The Record,Newspaper / Magazine
O'Donnell. Chuck,2009, Jersey Gods. The Garden State is like a scrappy character in a new comic book series,The Record,Newspaper / Magazine
Simons. Lewis M,1985, No one laughs at comic-book sales in Japan,The Record,Newspaper / Magazine
Salmon. Mike,2003, Cartoonist pokes fun at senior living [Hugh Wynn], [Burke. VA] Connection (February 6-12),
Feschuk. Scott,2001, Oh yeah. these girls rock [Josie and the Pussycats Movie], [Canada] National Post (April 11),
Unknown,2001, Are Your Kids Watching Cartoon Sex? Animated Videos Aren't Necessarily For Children, [Cleveland. OH] NewsNet5 (February 5),
Shamray. Gerry,2005, Sin City [cartoon journalism movie review], [Cleveland] Sun (March 31),
Murphy. B,1994, Great Evils Do Not a God Make,[Dark Horse Comics] Atlas ,Book Publisher
Murphy. B,1994, Clay Feet and Hearts of Darkness,[Dark Horse Comics] Atlas ,Book Publisher
Unknown,2000, [The Powerpuff Girls writer Abby Denson interviewed], [Durham. NC] Herald-Sun (October 18),
Huston. Lucy,1970, A 'Super' artist. Glenmoor Man's [Dan Adkins] talents help Superman and turn human-beings into monsters, [East Liverpool. OH] Evening Review (September 19). 8,
Tanne. Janice Hopkins,1996,, [Editorial] BMJ,
Said. S,2000, The Misfits of Zwigoff [Clowes' Ghost World comic book movie], [England] Sight and Sound (August),
Newman. Kim,2000, Homo Superior. With Bryan Singer's X-Men. the distinctive. troubled universe of Marvel Comics superheroes has at long last hit the screen in all its complex. multi-character glory, [England] Sight and Sound (September),
Corbin. Will,2001, Comic 'honoring' Passover. Easter presents a problem ['B, [Hampton Roads. VA] Daily Press (April 15),
Mautner. Christopher,2000, 'Safe Area Gorazde'. Cartoonish art draws compelling story of war's horrors [Joe Sacco], [Harrisburg. PA] Patriot News (May 21),
Unknown,2003, Experts on collectibles? York man noted in field [Ted Hake], [Harrisburg. PA] Patriot-News (May 23),
Homes. Jana,2004, HU Alum is a Top Dog. Nationally Syndicated Cartoonist [black cartoonist Steven Watkins and 'Housebroken'], [Howard University] Hilltop (October 26),
Langley. Zac,1999, Superman puts Manchester on map [Mark Waid uses town in comic book], [Jasper. AL] Daily Mountain Eagle (March 6),
Stegall. Sarah,2006, Super Heroes To Land In Polk. Fantasy Factory event Saturday to promote comics inspired postage, [Lakeland. FL] Ledger (August 17),
Bates. Daniel,2007, Rovers return. Footie star Roy makes his latest comeback after L150 transfer [British sports comic strip], [London] Metro (January 31),
Smith. Andrew A,2004, Legendary comic book team is reborn. DC Comics relaunches 'Legion of Super-Heroes' again, [Maryland] Journal (December 29). 18-19,
Lohnes. Kate,2006, Superheroes and comic books making a comeback in recent years, [McAllen. TX] Monitor Staff ( July 29),
Frazier. Carol Waterloo,2001, New 'Casper' musical materializes to spirited applause, [McKeesport. PA] Daily News (June 6),
Pribish. David M,2001, Books. to the Max(ine). Her Latest Collection Finds the Incurably Smarmy Curmudgeon Still in Whine Form, [McKeesport. PA] Daily News (March 30),
Sisk. Jeffrey,2001, Books. an 'Amazing' Effort. Author Michael Chabon Pens His Best Book in 'Kavalier & Clay', [McKeesport. PA] Daily News (March 30),
Unknown,1999, [profile of DC's America's Best Comics 'Top 10' lesbian metacop], [Miami Beach] TWN (August 18),
Unknown,1982, Casey Brennan anti-smoking campaign], [Michigan] New Times,
Unknown,1999, [profile piece on Rhinebeck resident and new Impulse writer Todd Dezago], [New York state paper] Gazette Advertiser (April 15),
Ray. Amber,2005, More than Superman. Dean Haspiel brings alternative comics to mainstream, [New York] Metro (January 24). 9,
Seyla. Andy,2003, Depicting antics of pets and owner [Patrick McDonnell and Mutts], [Newark. NJ] Star-Ledger ?,
Baumberger. Sara,2005, 'Hutch' tackles tough subjects [Tom Hart], [Northern Virginia] Journal,Newspaper / Magazine
Rosenberg. Scott,2005, Return of the Hulk's incredible chronicler [Peter David], [Northern Virginia] Journal,Newspaper / Magazine
Rosenberg. Scott,2005, This week's comic book releases, [Northern Virginia] Journal,Newspaper / Magazine
Smith. Andrew A,2002, JLA. JSA top month's reading, [Northern Virginia] Journal,Newspaper / Magazine
Schneidmill. Chris,2002, 'Toons with an attitude; Anime. It's not just for kids, [Northern Virginia] Journal,Newspaper / Magazine
Blum. Jared,1998, Abstinence cartoon hit for being 'blatantly anti-Semitic' [letter on Mikula editorial cartoon], [Northern Virginia] Sun Weekly,Newspaper / Magazine
Prunier. Vivian,1998, Cartoon unfair [letter on Mikula editorial cartoon], [Northern Virginia] Sun Weekly,Newspaper / Magazine
McCaffrey. Scott,1998, Local cartoonist finds sassiness in animals. 14-year-old eyes career in animation, [Northern Virginia] Sun Weekly,Newspaper / Magazine
Heger. Anders,2000, Free thoughts [on Carl Barks], [Norway] Dagsavisen (July 9). 2,
Price. Matthew,2001, DC Comics Reduced Prices of Batman. Dexter Issues, [Oklahoma City] Daily Oklahoman (August 24),
Gleason. Matt,2001, The super powers of comics, [Oklahoma State University] Daily O'Collegian / U-WIRE (September 26),University
Leblanc. Daniel,2000, Bolivar woman's former dog to be featured in 'Marmaduke' comic, [Olean. NY] Times Herald (November 27),Newspaper / Magazine
Sorensen. Inga,1997, To be or not to be 'me'. Some queers chafe at being asked to tone down their dress and behavior on the job [gay employees at Dark Horse Comics], [Oregon] JustOut (August 15),
Unknown,2000, [DC Comics' Paradox Press 'The Big Book of the 70s'], [Owensburg. NY] Messenger-Inquirer (July 2),
Effel. Jean,1966, La Gen=E8se ing=E9nue, [Paris]. Deno=EBl,
Effel. Jean,1964, De la DebreE0 la Pompidour, [Paris]. Deno=EBl ''.,
Beau. Michel and Jean Effel,1980, Jonglerimes, [Paris]. F. Nathan,
Effel. Jean,1951,La creation du monde., [Paris]. Gallimard,
Effel. Jean,1971, Ce crapaud de granit bavant du go=E9mon, [Paris]. Gallimard,
Effel. Jean,1978, Au temps o=F9 les b=EAtes parlaient . de l'=EAtre et du savoir, [Paris]. Julliard,
Effel. Jean,1981, La vie amoureuse d'Adam etC8ve, [Paris]. Julliard,
Effel. Jean,1983, Jean Effel . Galerie du Messager. Mus=E9e de la Poste  Paris . du 15 octobre au 26 novembre 1983, [Paris]. La Galerie,
Effel. Jean,1970, Plog Fran=E7ois Lejeune, [Paris]. Mercure de France,
Effel. Jean,1944,Jours sans alboches; 70 dessins de Jean Effel. [Paris], [Paris]. Soci=E9t=E9 desE9ditions France-soir,
Goga. Stephanie,2009, County to feature graphic novel; Persepolis is a novel that chronicles a girl's childhood during the Iranian Revolution, [Penn State] Daily Collegian (January 16),
Braun. Joanne,2001, Kennedy man works on comic book with powerful message [Jason Van Jura and 'The Adventure of the DV Busters' (DV for domestic violence against women)], [Pittsburgh. PA] Moon Record Star (September 18),
Ingersoll. Keith,1998, Freedom of the small press [Some Zines 2. Alternative & Underground Artists & Eccentric Magazines & Micropresses exhibit], [Princeton Packet] Tempo (October 15). 6-7,
Booth. Phyllis,2004, Editorial cartoon presentation will draw on history, [Princeton] Landmark (October 21),
McLean. Christopher,2003, Captain America takes on a new look, [Ridgefield Park NJ Junior-Senior High School] Scarlet Quill (January). 4,
Sims. Zach,2006, Library trustees to hold hearing on novels [Fun Home by Alison Bechdel and Blankets by Craig Thompson], [Saline County. MO] Marshall Democrat-News (October 3),
Hoke. WIlliam,2001, Daniel Clowes Interview, [Seattle] Tablet (May 4),
Pennington. Zac,2001, Chris Ware Interview, [Seattle] Tablet (May 4),
Childress. James,1972, Conchy. Man of Now, [self-published]. James Childress,
Green. Diana,2001, 'Shrek' takes it ogre the top [Dreamworks animation], [Silver Spring. MD] Gazette (May 16). B8-9,
Lien. Elling,2006, Panel to panel. Elling Lien speaks with St. John?s comic artist and promoter of the comic arts Wallace Ryan about his life and his upcoming ?School of Comic Books and Graphic Novels? class at Anna Templeton Centre, [St. Johns. Newfoundland. Canada] The Scope (December 6). 11,
Groening. Matt,1999, Homer's diary, [Starbuck's] Joe 1 (2). cover. 46-47,
Unknown,2002, The Universe is made of stories by Peter Sinclair [interview as book review], [University of Michigan] Michigan Today 34 (1; Spring). 22,University
Stanislawski. Ethan,2006, Chris Ware's urban cartoons make a strange but effective art exhibit, [University of] Chicago Maroon (June 2),University
Wagner. Lloyd W,1985, The Heroic Fantasies of Frank Frazetta, [unknown newspaper] (May 26),
Unknown,2000, [Superman villain Lex Luthor's presidential campaign], [Vancouver. Canada] Columbian (June 24),
Schaefer. Glen,2001, The man behind X-Men; David Hayter was a struggling actor. now he turns comics into films, [Vancouver. Canada] Province (September 25),
Swan. Patrick / Army News Service,2002, Chip Gizmo links up with Beetle Bailey, [Walter Reed Army Medical Center] Strip,
Barrera. Monica / Army News Service,2005, Comic strips feature computer security tips, [Walter Reed Army Medical Center] Strip,
Dasey. Chuck,2002, Spider-Man hints at command's efforts, [Walter Reed Army Medical Center] Strip,
Dasey. Chuck,2002, Spider-Man hints at command's efforts, [Walter Reed Army Medical Center] Strip,
Coultas. Bob,2002, Beetle Bailey creator visits Walter Reed, [Walter Reed Army Medical Center] Strip,
Dukes. Michael E,2005, Spiderman. Captain America salute their heroes, [Walter Reed Army Medical Center] Strip,
Dukes. Michael E,2005, Doonesbury visit, [Walter Reed Army Medical Center] Strip,
McDonough. Kevin / United Feature Syndicate,2006, This 'Blade' is dull. The half-vampire hero now fights crime on the small screen,Washington Post,Newspaper / Magazine
Berger. Arion,2007, Revenge of the nerds [Cherry Blossom Anime Marathon],Washington Post,Newspaper / Magazine
Mitchell. Samantha / Associated Press,2007, Part of their world. Disney launches wedding gowns for the princess brides,Washington Post,Newspaper / Magazine
Nakashima. Ryan / Associated Press,2008, Mideast amusements. U.S. movie studios build theme parks in Muslim regions [Warner Brothers. DC Comics. Marvel Comics],Washington Post,Newspaper / Magazine
Kaufman. Rachel,2008, Animated Imports. What's as Japanese as cherry blossoms? An Anime Marathon,Washington Post,Newspaper / Magazine
Deusner. Stephen M,2008, Comic-Phobia Not So Funny. David Hajdu explores controversy behind an American pastime,Washington Post,Newspaper / Magazine
Germain. David / Associated Press,2008, It?s truly as harmless as a Fly; New 3-D animated flick is more nerdy than entertaining,Washington Post,Newspaper / Magazine
Germain. David / Associated Press,2008, The force isn?t strong. ?Clone Wars? doesn?t add much depth to the ?StarWars? saga,Washington Post,Newspaper / Magazine
Rosenberg. Scott,2007, Based on a fake story. Out of a nonexistent novel comes a comic riddled with humor [Stephen Colbert's Tek Jansen comic book. writer Tom Peyer interview],Washington Post,Newspaper / Magazine
Dawson. Angela / Entertainment News Wire,2007, She's got star power. Claire Danes has a heaven-sent role in the fantasy 'Stardust',Washington Post,Newspaper / Magazine
Boucher. Geoff / Los Angeles Times,2007, Men in tights. Second-tier superhero movies might be the future of Hollywood,Washington Post,Newspaper / Magazine
Lloyd. Robert / Los Angeles Times,2007, Deadpan dopes. Cartoon Networks' Adult Swim block has a stolid. silly formula,Washington Post,Newspaper / Magazine
Rosenberg. Scott,2007, Super New Man. Shazam Gets a Makeover [Jeff Smith],Washington Post,Newspaper / Magazine
Lowther. Betsy,2009, Kristin Kreuk. 'Smallville' girl next door. street fighter [video game animation movie],Washington Post,Newspaper / Magazine
Lloyd. Robert / Los Angeles Times,2009, 'XIII' is muscular. not brainy. Strong action scenes are the sole strength of a new NCB thriller,Washington Post,Newspaper / Magazine
Dixon. Glenn,2008, Playing and dress-up. Cosplayers act the parts from manga to anime to video games,Washington Post,Newspaper / Magazine
Yu. Vincent / Associated Press,2008, Hong Kong. Mickey Mouse style [photograph at Hong Kong Disneyland],Washington Post,Newspaper / Magazine
Deusnef. Stephen M,2008, Swamp Thing. Up From the Muck,Washington Post,Newspaper / Magazine
Rickman. Johnathan (sic),2008, Rich Memory in 2-D. Marjane Satrapi's bio-comic segues to the silver screen,Washington Post,Newspaper / Magazine
Massey. Bob,2007, Brief lives. Rich stories in no time with an evening of animated shorts [Animation Show 3],Washington Post,Newspaper / Magazine
Krisher. Tom / Associated Press,2008, Ford likens car to ?Homer?. Execs mock design of Taurus. comparing it to Homer Simpson,Washington Post,Newspaper / Magazine
Anthony. Ted / Associated Press,2008, Cultural translation. A new children?s series offers insight into Chinese America [Nickelodeons Ni Hao. Kai-lan animation],Washington Post,Newspaper / Magazine
Deusner. Stephen M,2009, What's a Frisky Dingo? Adult Swim's send-up of superheroes and the political process [online title - World Domination. 'Frisky Dingo'],Washington Post,Newspaper / Magazine
Germain. David / Associated Press,2008, Charisma behind the mask; Hellboy incarnate. aka Ron Perlman. is best in a rubber face,Washington Post,Newspaper / Magazine
Locke. Michelle / Associated Press,2007, Animated instruction. There's a chef behind the delicacies seen in Pixar's 'Ratatouille',Washington Post,Newspaper / Magazine
Rosenberg. Scott,2007, Q&A. 'X-Men' Writer Mike Carey,Washington Post,Newspaper / Magazine
Ortutay. Barbara / Associated Press,2008, Character development. New video game technology makes each moment unique [animation],Washington Post,Newspaper / Magazine
Otiji. Adaora,2009, Very Good Grief. 'Charlie Brown' puts the famed comic-strip characters' neuroses into musical context [Peanuts theater play],Washington Post,Newspaper / Magazine
Lang. Derrik J,2008, Small screen preview. Experience the new 'Watchmen' before it hits the theaters,Washington Post,Newspaper / Magazine
Twiddy. David / Associated Press,2008, Call it comical. Prior to Election Day. Obama and McCain square off in comics,Washington Post,Newspaper / Magazine
Williams. Darona,2008, Where imagination roars. 'The Lion King' goes from a kids' fantasy to a magical immersion [theater play],Washington Post,Newspaper / Magazine
Germain. David / Associated Press,2008, Monsters unleashed. Del Toro fills his many movies with beasts from his imagination [Hellboy 2],Washington Post,Newspaper / Magazine
McDonough. Kevin / United Feature Syndicate,2008, The stuff of blockbusters. Once a niche market special. comics now rule the mainstream,Washington Post,Newspaper / Magazine
Stelter. Paul,2008, Drawn to Adulthood. 'Animation Show' sketches of a rich variety of short films,Washington Post,Newspaper / Magazine
Moore. Frazier / Associated Press,2007, Honey. I shrunk WLil Bush is Comedy Centrals tiny nod to our fearless leader,Washington Post,Newspaper / Magazine
Lemire. Christy / Associated Press,2008, Heartless Hulk. Incredible gets lost in page-to-screen translation again,Washington Post,Newspaper / Magazine
Dawson. Angela / Entertainment News Wire,2007, Bad Surfer dude. The Fantastic Four are back to battle a metallic new villain,Washington Post,Newspaper / Magazine
Rosenberg. Scott,2007, King Cat Comix. Brandon Graham,Washington Post,Newspaper / Magazine
Lloyd. Robert / Los Angeles Times,2009, Fleshed-out series. Cartoon Network snubs the animated with a slew of shows featuring real people,Washington Post,Newspaper / Magazine
Rosenberg. Scott,2007, Intelligent Designer. Memory intertwines with philosophy in 'Three Paradoxes',Washington Post,Newspaper / Magazine
Alter. Ethan / Film Journal International,2008, Robot romance. New Pixar movie tells an old-fashioned animatronic love story [Wall-E],Washington Post,Newspaper / Magazine
Rosenberg. Scott,2007, Mister Miracle. Jack Kirby's Fourth World [Paul Levitz],Washington Post,Newspaper / Magazine
Lemire. Christy,2008, Silent wonder. In WALL-E. a little robot brings humanity back to the universe,Washington Post,Newspaper / Magazine
Dixon. Glenn,2007, Ink and Mortar. David Macaulay,Washington Post,Newspaper / Magazine
Lemire. Christy / Associated Press,2007, Penguins can surf,Washington Post,Newspaper / Magazine
Dawson. Angela,2008, Who?s ?Horton?? He?s a product of the Seuss brain. coming to a theater near you,Washington Post,Newspaper / Magazine
Harris. Ron / Associated Press,2008, Turok is back. even less fun; A dinosaur hunter goes back to the jungle for a mild ride,Washington Post,Newspaper / Magazine
Tucker. Trisha,2008, A hero lies in Junior; An indie film vet tries his crowd-pleasing hand as Iron Man,Washington Post,Newspaper / Magazine
McDonough. Kevin / United Feature Syndicate,2009, He wrote familiar 'toons. Meet Chuck Jones the boy behind the man behind the pen,Washington Post,Newspaper / Magazine
Abramowitz. Rachel,2009, Curious case of Tintin. Giants of cinema use tricky technology to film cartoon reporter,Washington Post,Newspaper / Magazine
Rosenberg. Scott,2007, Cruel Old Stagolee Gets Graphic The legednary tale of Stagger Lee gets a graphic treatment,Washington Post,Newspaper / Magazine
King. Susan / Los Angeles Times,2007, The penguins march on; but the ?Happy Feet? DVD isn?t singing and dancing with extras,Washington Post,Newspaper / Magazine
Dixon. Glenn,2007, Still life with duck. Painter Kaj Stenvall?s enigmatic artwork is definitely for the birds [Finland funny animal fine art],Washington Post,Newspaper / Magazine
Dawson. Angela / Entertainment News Wire,2007, Swords. sandals. style. '300' ushers in a new way to look at movies - film as comic book,Washington Post,Newspaper / Magazine
Germain. David / Associated Press,2009, Action overpacked. 'X-Men Origins' tells Wolverine's story with excessive fighting and no plot nuance,Washington Post,Newspaper / Magazine
Long. Colleen / Associated Press,2007, Alpha comics writer. Jonathan Lethem is turning his typrewriter to tales of ?Omega?,Washington Post,Newspaper / Magazine
Friedman. Josh / Los Angeles Times,2007, Spider-Mans enemy. Shrek the Third is hulking up to take on the web-slinger,Washington Post,Newspaper / Magazine
Slagle. Matt / Associated Press,2007, Collectible critters. New Pokemon games add diamonds and pearls to the franchise,Washington Post,Newspaper / Magazine
McDonough. Kevin / United Features Syndicate,2008, Digital odyssey. 'Molotov' follows a finely crafted alter ego on his quest for truth [Second Life animation movie],Washington Post,Newspaper / Magazine
Lemire. Christy / Associated Press,2007, Fractured fairy tale. ?Shrek? isn?t dreck. but it truly feels like the third time around,Washington Post,Newspaper / Magazine
Lemire. Christy,2008, The Iron is hot; Iron Man is an action movie with brains. heart and explosions,Washington Post,Newspaper / Magazine
Dixon. Glenn,2007, Behind the maps mask. Saul Steinbergs art shows his discomfort with modernity,Washington Post,Newspaper / Magazine
Williams. Darona,2007, On the spot. Ennio Marchetto. Former espresso machine repairman turned theatrical wonder [theater show as ?living cartoon?],Washington Post,Newspaper / Magazine
Lemire. Christy / Associated Press,2009, 'Up' and Away. Pixar's new film will carry you into a world of creative. high-flying adventure,Washington Post,Newspaper / Magazine
Talbott. Chris / Associated Press,2007, Music for a superhero. The super soundtrack for ?Spider-Man 3? is practically heroic,Washington Post,Newspaper / Magazine
Boucher. Geoff / Los Angeles Times,2008, A New Hero Lies In Beyonce [Wonder Woman],Washington Post,Newspaper / Magazine
Cidoni. Michael,2008, The $100 Million Man. Seth McFarlane talks about the price of more ?Family Guy?,Washington Post,Newspaper / Magazine
Welkos. Robert W,2004, Drawing attention. Makers of animated films think it's time Oscar rewards them,Washington Post,Newspaper / Magazine
McDonough. Kevin / United Feature Syndicate,2007, Peanuts and Eggnog. Why a 42-year-old cartoon remains as fresh as an evergreen,Washington Post,Newspaper / Magazine
Dawson. Angela / Entertainment News Wire,2008, Return of the ?Madagascar? Pack. Party animals from the first adventure tackle the sequel,Washington Post,Newspaper / Magazine
Greenberg. Rudi,2009, Best Comics Store. Big Planet Comics,Washington Post,Newspaper / Magazine
Germain. David / Associated Press,2008, Youthful Appeal. ?Madagascar 2? is yet another manic mess aimed at the children,Washington Post,Newspaper / Magazine
Dixon. Glenn,2007, This time. it's personal; A cartoonist's memoir is born in the form of a sharp graphic novel [Alison Bechdel],Washington Post,Newspaper / Magazine
Germain. David / Associated Press,2007, If you give a rat a frying pan. You get 'Ratatouille' the animated treat from Pixar. on DVD,Washington Post,Newspaper / Magazine
Dawson. Angela / Entertainment News Wire,2009, O'Hara into the 'Wild'. The actress voices Wild Thing Judith in the movie based on Sendak's kids' book,Washington Post,Newspaper / Magazine
Boucher. Geoff / Los Angeles Times,2008, A comic writes in comedian. Spider-Man will feature Colbertos fake White House bid,Washington Post,Newspaper / Magazine
Chaney. Jen,2007, The holiday necessity. The Jungle Book is the answer to all your kid-gifting questions,Washington Post,Newspaper / Magazine
Moore. Frazier / Associated Press,2008, A is for Aardvark. Armstrong; Lance will make a cartoon cameo on an episode of Arthur?,Washington Post,Newspaper / Magazine
